numeroMuseo,numeroCampo,reino,filum,clase,orden,familia,genero,especie,nombre_cientifico,continente,pais,provincia,canton,parroquia,localidad,localidadVerbatim,fuenteCoordenadas,altitudMax,altitudMin,datum,latitude,longitude,estadoDeterminacion,fechaInicioColeccion,fechaFinColeccion,fechaVerbatim,subespecie,variedad,forma,colector,fechaIdentificacion,tejidos,tipo,cita
QCAZM10029,"139900",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Dermanura,gnoma,Dermanura gnoma,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,18/2/2008 0:00,18/2/2008 0:00,,,,,,,"4",,
QCAZM10030,"139951",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Dermanura,gnoma,Dermanura gnoma,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,18/2/2008 0:00,18/2/2008 0:00,,,,,,,"4",,
QCAZM10031,"139965",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,19/2/2008 0:00,19/2/2008 0:00,,,,,,,"2",,
QCAZM10032,"139857",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,13/2/2008 0:00,13/2/2008 0:00,,,,,,,"2",,
QCAZM10033,"139875",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,15/2/2008 0:00,15/2/2008 0:00,,,,,,,"2",,
QCAZM10034,"139887",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,17/2/2008 0:00,17/2/2008 0:00,,,,,,,"2",,
QCAZM10035,"139954",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,18/2/2008 0:00,18/2/2008 0:00,,,,,,,"2",,
QCAZM10036,"139957",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,planirostris,Artibeus planirostris,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,18/2/2008 0:00,18/2/2008 0:00,,,,,,,"2",,
QCAZM10037,"139958",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,planirostris,Artibeus planirostris,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,18/2/2008 0:00,18/2/2008 0:00,,,,,,,"3",,
QCAZM10038,"139970",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,planirostris,Artibeus planirostris,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,20/2/2008 0:00,20/2/2008 0:00,,,,,,,"2",,
QCAZM10039,"139853",Animal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,,Ecuador,Pastaza,Arajuno,Desconocido,"Instalaciones AGIP Oil, Bloque 10, Helipuerto K4, Cercan�as R�o Lliquino",Campamento K4. AGIP,,,,WGS 84,"-1.47613435","-77.48508422",,13/2/2008 0:00,13/2/2008 0:00,,,,,,,"2",,
